review_id,author,rating,date,thumbs_up,text
R001,I'm Khanu,1,2020-11-13,948,"Instagram has not been working at all since the latest update to Instagram ( today's update ) If I try to open it too, it shuts down and it's show me unfortunately instagram has been stopped so kindly fix the problem as soon as possible."
R002,Abdullah Abu bakar,4,2020-11-20,231,"Instagram lite is good and have every features that it should have but , you should at least add dark mode in it ,it would less strain my eyes 👀 as it's too bright too use in Midnights . Hope you'll understand 🙂"
R003,Abhishek Abu,3,2020-12-09,347,"Hlo sir instagram and instagram lite both. are very best app a but there is many problems in instagram lite No dark theme provide, no reel videos option and too many problems please solve this problem as soon as possible. Instagram is best and lite also but solve this problem quickly thanku"
R004,Go viral,5,2020-12-09,148,Thank you so much for launching Instagram lite version. Its working faster on devices less than 2GB RAM. I'm very exciting for this lite version.
R005,Gorav Sharma,4,2020-12-10,815,By the way App is awesome 😎. But I'm giving it 4 stars because of a bug which is also in Facebook Lite. During split screen only Instagram Lite and Facebook Lite have issue that it only cover 60% of screen and remaining screen is white. Please contact me via email so that I can send you screenshot so that you can understand more deeply. Please fix it we are unable to do multitasking with this bug. Except this bug app is awesome for 1Gb and 2Gb ram mobiles👍
R006,Ajay Singh Chauhan,5,2020-12-12,649,This lite version is awesome !! And there is no specific tab for that annoying Reels and that's a bonus!!!!! But there are some minor lags while opening new posts and while switching to different tabs !! So please make better !! Otherwise everything is Awesome !!!!
R007,Soorya Ravindran,4,2020-12-16,359,"App is good, has all the basic features, but the screen resolution is less, doesn't occupies the full screen. And also there is no native dark mode. If those features are added, this would be a great app."
R008,Vishnu AR,2,2020-12-16,967,"It's not working!!!! When I tap on something, it isn't loading and says ""something went wrong"" actually you should fix so many issues if you want to get 5 star rating from me! I thought this app would be one of the best, but I'm so disappointed with this application."
R009,꧁༺ɢօʋɨռɖ ʝɦǟ༻꧂,5,2020-12-18,317,"Instagram Lite makes it easier to bring you closer to the people and things you love. The Instagram Lite app is small, fast and works on all networks. Enjoy the best features of INSTA like connecting with friends, sharing what you’re up to, or seeing what’s new from others all over the world. Explore our community where you can feel free to be yourself and share everything from your daily moments to life's highlights. Express Yourself and Connect With Friends"
R010,Ayush Víshwakarma,2,2020-12-19,329,There is nothing like refresh. When you refresh the feed it doesn't get refreshed. And dark mode is still missing. By the way the app is awsome and the plus point is there is no specific reels button that annoy you. Please solve this problem ASAP.
